# Position data for device 111 on 20110430
# hhmmss.sss	hhmm	ss.sss	longitude	latitude	accuracy	session_id	leg distance	leg mps	bearing	total distance	total time	average mps
092230.973	0922	30.973	2.779269117	48.87036595	100	6020	0	0	0	0	00:00:00.000	0
092231.917	0922	31.917	2.779269117	48.87036595	0	6020	0.000	0.000	0.000	0	00:00:00.944	0.000
092253.897	0922	53.897	2.778857525	48.87045531	25	6020	31.750	1.444	5.605	31.75	00:00:22.924	1.385
092304.417	0923	04.417	2.778787935	48.8704711	10	6020	5.392	0.513	5.626	37.142	00:00:33.444	1.111
092503.627	0925	03.627	2.779198556	48.87015093	25	6020	46.615	0.391	2.921	83.757	00:02:32.654	0.549
092507.440	0925	07.440	2.779089687	48.87015103	15	6020	7.976	2.092	4.718	91.733	00:02:36.467	0.586
092510.380	0925	10.380	2.77901725	48.87015602	15	6020	5.336	1.815	5.088	97.069	00:02:39.407	0.609
092513.440	0925	13.440	2.778997952	48.8701997	15	6020	5.060	1.654	6.206	102.129	00:02:42.467	0.629
092651.833	0926	51.833	2.778624055	48.87078445	15	6020	70.568	0.717	6.172	172.697	00:04:20.860	0.662
092838.687	0928	38.687	2.778715784	48.87061946	15	6020	19.542	0.183	3.045	192.239	00:06:07.714	0.523
093025.787	0930	25.787	2.779030751	48.87047244	25	6020	28.281	0.264	2.783	220.52	00:07:54.814	0.464
093032.367	0930	32.367	2.778887692	48.87045864	15	6020	10.593	1.610	4.208	231.113	00:08:01.394	0.480
093208.630	0932	08.630	2.778908915	48.87064526	25	6020	20.814	0.216	0.020	251.927	00:09:37.657	0.436
093217.683	0932	17.683	2.778913656	48.87051941	15	6020	14.001	1.547	3.135	265.928	00:09:46.710	0.453
093357.953	0933	57.953	2.779120313	48.87053826	15	6020	15.285	0.152	1.090	281.213	00:11:26.980	0.409
093404.367	0934	04.367	2.778961024	48.87053689	10	6020	11.671	1.820	4.663	292.884	00:11:33.394	0.422
093543.707	0935	43.707	2.778727998	48.87052652	25	6020	17.111	0.172	4.463	309.995	00:13:12.734	0.391
093915.773	0939	15.773	2.778872151	48.87051346	25	6020	10.660	0.050	2.049	320.655	00:16:44.800	0.319
093941.357	0939	41.357	2.778872151	48.87051346	5	6020	0.000	0.000	0.000	320.655	00:17:10.384	0.311
093943.390	0939	43.390	2.778938516	48.8705129	5	6020	4.862	2.392	1.619	325.517	00:17:12.417	0.315
094018.367	0940	18.367	2.778992928	48.87050651	5	6020	4.049	0.116	2.162	329.566	00:17:47.394	0.309
094023.397	0940	23.397	2.779049868	48.87050269	5	6020	4.193	0.834	1.937	333.759	00:17:52.424	0.311
094053.417	0940	53.417	2.779162959	48.87044912	10	6020	10.205	0.340	2.788	343.964	00:18:22.444	0.312
094100.390	0941	00.390	2.779195914	48.87048223	5	6020	4.403	0.631	0.172	348.367	00:18:29.417	0.314
094129.417	0941	29.417	2.779172673	48.87053525	5	6020	6.138	0.211	6.207	354.505	00:18:58.444	0.311
094132.410	0941	32.410	2.779118237	48.87054718	10	6020	4.203	1.404	5.609	358.708	00:19:01.437	0.314
094135.403	0941	35.403	2.779060147	48.8705634	10	6020	4.622	1.544	5.723	363.33	00:19:04.430	0.317
094205.420	0942	05.420	2.778763198	48.87074125	5	6020	29.403	0.980	5.999	392.733	00:19:34.447	0.334
094208.417	0942	08.417	2.77873687	48.87077709	5	6020	4.428	1.477	6.155	397.161	00:19:37.444	0.337
094213.417	0942	13.417	2.778703965	48.87081415	5	6020	4.775	0.955	6.129	401.936	00:19:42.444	0.340
094225.427	0942	25.427	2.778657054	48.87087544	5	6020	7.634	0.636	6.150	409.57	00:19:54.454	0.343
094237.400	0942	37.400	2.778654761	48.87087905	5	6020	0.435	0.036	6.172	410.005	00:20:06.427	0.340
094313.397	0943	13.397	2.778594392	48.87093785	10	6020	7.895	0.219	6.105	417.9	00:20:42.424	0.336
094349.407	0943	49.407	2.778659938	48.87097991	10	6020	6.704	0.186	0.267	424.604	00:21:18.434	0.332
094425.403	0944	25.403	2.778747465	48.87099527	5	6020	6.636	0.184	0.785	431.24	00:21:54.430	0.328
094427.423	0944	27.423	2.778786327	48.87097945	5	6020	3.347	1.657	2.735	434.587	00:21:56.450	0.330
094431.357	0944	31.357	2.778821224	48.8709508	5	6020	4.085	1.038	2.931	438.672	00:22:00.384	0.332
094447.360	0944	47.360	2.778861804	48.87093509	5	6020	3.448	0.215	2.716	442.12	00:22:16.387	0.331
094523.417	0945	23.417	2.778913199	48.87091027	5	6020	4.669	0.129	2.793	446.789	00:22:52.444	0.326
094635.417	0946	35.417	2.778852392	48.87093558	10	6020	5.270	0.073	5.884	452.059	00:24:04.444	0.313
094659.377	0946	59.377	2.778866194	48.87093714	5	6020	1.026	0.043	0.998	453.085	00:24:28.404	0.309
094701.427	0947	01.427	2.778865889	48.87093693	10	6020	0.032	0.016	3.391	453.117	00:24:30.454	0.308
094742.410	0947	42.410	2.778807265	48.87092385	5	6020	4.535	0.111	3.808	457.652	00:25:11.437	0.303
094745.390	0947	45.390	2.77875016	48.87092258	5	6020	4.186	1.405	4.586	461.838	00:25:14.417	0.305
094813.407	0948	13.407	2.778652871	48.87089926	10	6020	7.585	0.271	3.773	469.423	00:25:42.434	0.304
094816.393	0948	16.393	2.778714749	48.87092763	5	6020	5.523	1.850	0.365	474.946	00:25:45.420	0.307
094819.403	0948	19.403	2.778776428	48.87095373	10	6020	5.371	1.784	0.393	480.317	00:25:48.430	0.310
094821.393	0948	21.393	2.778828388	48.87096718	5	6020	4.090	2.055	0.596	484.407	00:25:50.420	0.312
095003.753	0950	03.753	2.778787867	48.87105872	15	6020	10.605	0.104	6.206	495.012	00:27:32.780	0.300
095010.437	0950	10.437	2.778837374	48.87097207	10	6020	10.297	1.541	3.042	505.309	00:27:39.464	0.305
095132.800	0951	32.800	2.778701168	48.87091666	25	6020	11.728	0.142	3.549	517.037	00:29:01.827	0.297
095142.403	0951	42.403	2.778818205	48.87096535	10	6020	10.141	1.056	0.399	527.178	00:29:11.430	0.301
095244.420	0952	44.420	2.778874113	48.87098916	5	6020	4.877	0.079	0.391	532.055	00:30:13.447	0.293
095311.423	0953	11.423	2.778875981	48.8709253	5	6020	7.104	0.263	3.136	539.159	00:30:40.450	0.293
095503.743	0955	03.743	2.778524242	48.87063904	25	6020	40.959	0.365	3.353	580.118	00:32:32.770	0.297
095508.440	0955	08.440	2.778524242	48.87063904	15	6020	0.000	0.000	0.000	580.118	00:32:37.467	0.296
095544.457	0955	44.457	2.77866386	48.87084147	15	6020	24.729	0.687	0.120	604.847	00:33:13.484	0.303
095548.443	0955	48.443	2.778686951	48.8708921	10	6020	5.880	1.475	0.080	610.727	00:33:17.470	0.306
095551.397	0955	51.397	2.778715667	48.87092564	10	6020	4.283	1.450	0.149	615.01	00:33:20.424	0.307
095620.420	0956	20.420	2.779262269	48.87115366	25	6020	47.399	1.633	0.398	662.409	00:33:49.447	0.326
095919.677	0959	19.677	2.779912932	48.87038802	25	6020	97.588	0.544	2.994	759.997	00:36:48.704	0.344
095955.387	0959	55.387	2.780029844	48.87046432	25	6020	12.057	0.338	0.262	772.054	00:37:24.414	0.344
100003.420	1000	03.420	2.779419814	48.87049004	25	6020	44.783	5.575	4.949	816.837	00:37:32.447	0.363
100004.403	1000	04.403	2.779366733	48.87052164	15	6020	5.242	5.333	5.997	822.079	00:37:33.430	0.365
100005.413	1000	05.413	2.779318651	48.87055071	15	6020	4.781	4.734	6.001	826.86	00:37:34.440	0.367
100024.410	1000	24.410	2.77883739	48.87084771	15	6020	48.314	2.543	6.006	875.174	00:37:53.437	0.385
100026.407	1000	26.407	2.778806773	48.87087789	15	6020	4.037	2.022	6.107	879.211	00:37:55.434	0.386
100029.393	1000	29.393	2.77876124	48.87090403	15	6020	4.425	1.482	5.987	883.636	00:37:58.420	0.388
100032.407	1000	32.407	2.778715707	48.87093016	15	6020	4.424	1.468	5.987	888.06	00:38:01.434	0.389
100224.713	1002	24.713	2.778941078	48.87073118	25	6020	27.611	0.246	2.946	915.671	00:39:53.740	0.383
100231.670	1002	31.670	2.778669307	48.87082164	25	6020	22.308	3.207	5.798	937.979	00:40:00.697	0.391
100300.437	1003	00.437	2.778250172	48.87135643	15	6020	66.937	2.327	6.146	1004.916	00:40:29.464	0.414
100303.470	1003	03.470	2.778292683	48.87140867	15	6020	6.592	2.173	0.142	1011.508	00:40:32.497	0.416
100305.517	1003	05.517	2.778361189	48.87143826	15	6020	6.002	2.932	0.387	1017.51	00:40:34.544	0.418
100308.473	1003	08.473	2.778459728	48.87145829	15	6020	7.555	2.556	0.713	1025.065	00:40:37.500	0.421
100310.440	1003	10.440	2.778518746	48.87146204	15	6020	4.344	2.208	1.224	1029.409	00:40:39.467	0.422
100336.417	1003	36.417	2.778864697	48.87110901	15	6020	46.733	1.799	2.971	1076.142	00:41:05.444	0.436
100346.397	1003	46.397	2.778824985	48.87107732	25	6020	4.570	0.458	3.358	1080.712	00:41:15.424	0.437
100349.417	1003	49.417	2.778797924	48.87107105	25	6020	2.102	0.696	3.790	1082.814	00:41:18.444	0.437
100358.377	1003	58.377	2.778730391	48.8710664	25	6020	4.975	0.555	4.338	1087.789	00:41:27.404	0.437
100745.257	1007	45.257	2.780069874	48.87069215	25	6020	106.595	0.470	2.582	1194.384	00:45:14.284	0.440
100822.497	1008	22.497	2.779716178	48.87097386	15	6020	40.658	1.092	6.066	1235.042	00:45:51.524	0.449
100824.453	1008	24.453	2.779615086	48.87098854	15	6020	7.584	3.877	5.404	1242.626	00:45:53.480	0.451
100826.433	1008	26.433	2.779522894	48.87099704	15	6020	6.820	3.444	5.196	1249.446	00:45:55.460	0.453
100828.473	1008	28.473	2.779436773	48.87100279	15	6020	6.342	3.109	5.076	1255.788	00:45:57.500	0.455
100830.413	1008	30.413	2.779357011	48.8710081	15	6020	5.873	3.027	5.075	1261.661	00:45:59.440	0.457
100831.387	1008	31.387	2.77931914	48.87101075	15	6020	2.790	2.864	5.092	1264.451	00:46:00.414	0.458
100833.420	1008	33.420	2.779262625	48.87101482	15	6020	4.165	2.049	5.102	1268.616	00:46:02.447	0.459
100836.383	1008	36.383	2.779186434	48.87102049	15	6020	5.617	1.896	5.113	1274.233	00:46:05.410	0.461
100839.467	1008	39.467	2.779117231	48.87103001	15	6020	5.179	1.679	5.377	1279.412	00:46:08.494	0.462
100840.387	1008	40.387	2.779094163	48.87103319	15	6020	1.727	1.877	5.378	1281.139	00:46:09.414	0.463
100843.383	1008	43.383	2.779024959	48.87104271	15	6020	5.179	1.729	5.377	1286.318	00:46:12.410	0.464
100846.403	1008	46.403	2.778955755	48.87105223	15	6020	5.179	1.715	5.377	1291.497	00:46:15.430	0.465
101000.410	1010	00.410	2.779489612	48.87065267	100	6020	59.198	0.800	2.912	1350.695	00:47:29.437	0.474
101003.390	1010	03.390	2.779121072	48.87076263	15	6020	29.640	9.946	5.752	1380.335	00:47:32.417	0.484
101005.393	1010	05.393	2.779076193	48.87079066	15	6020	4.531	2.262	6.010	1384.866	00:47:34.420	0.485
101009.393	1010	09.393	2.779106818	48.8708263	15	6020	4.555	1.139	0.149	1389.421	00:47:38.420	0.486
101036.403	1010	36.403	2.779191187	48.87082796	15	6020	6.184	0.229	1.459	1395.605	00:48:05.430	0.484
101039.413	1010	39.413	2.779176875	48.87079065	10	6020	4.280	1.422	3.209	1399.885	00:48:08.440	0.485
101043.400	1010	43.400	2.779173317	48.87075221	10	6020	4.283	1.074	3.158	1404.168	00:48:12.427	0.485
101058.450	1010	58.450	2.779076636	48.8707518	10	6020	7.083	0.471	4.688	1411.251	00:48:27.477	0.485
101108.413	1011	08.413	2.779059962	48.87075879	5	6020	1.448	0.145	5.887	1412.699	00:48:37.440	0.484
101223.433	1012	23.433	2.779059145	48.87077233	5	6020	1.507	0.020	6.273	1414.206	00:49:52.460	0.473
101415.940	1014	15.940	2.77936416	48.87084658	15	6020	23.823	0.212	0.624	1438.029	00:51:44.967	0.463
101455.393	1014	55.393	2.779177908	48.87082202	10	6020	13.916	0.353	4.067	1451.945	00:52:24.420	0.462
101504.390	1015	04.390	2.779141606	48.87084985	10	6020	4.081	0.454	6.058	1456.026	00:52:33.417	0.462
101531.453	1015	31.453	2.779071399	48.87089472	10	6020	7.167	0.265	6.015	1463.193	00:53:00.480	0.460
101607.440	1016	07.440	2.779106477	48.87078765	10	6020	12.182	0.339	3.084	1475.375	00:53:36.467	0.459
101611.557	1016	11.557	2.779096574	48.87078437	5	6020	0.812	0.197	3.628	1476.187	00:53:40.584	0.458
101807.647	1018	07.647	2.776871485	48.86940238	25	6020	224.051	1.930	3.414	1700.238	00:55:36.674	0.510
101812.570	1018	12.570	2.776731626	48.86942114	10	6020	10.457	2.124	5.369	1710.695	00:55:41.597	0.512
101958.547	1019	58.547	2.773689312	48.8693365	25	6020	223.090	2.105	4.552	1933.785	00:57:27.574	0.561
102146.470	1021	46.470	2.773114369	48.8695909	25	6020	50.743	0.470	5.908	1984.528	00:59:15.497	0.558
102153.310	1021	53.310	2.772984315	48.86964746	15	6020	11.417	1.669	5.902	1995.945	00:59:22.337	0.560
102222.357	1022	22.357	2.772211629	48.87027491	15	6020	89.858	3.094	6.071	2085.803	00:59:51.384	0.581
102224.317	1022	24.317	2.772176762	48.87032004	15	6020	5.632	2.873	6.149	2091.435	00:59:53.344	0.582
102226.340	1022	26.340	2.772144486	48.87035996	10	6020	5.030	2.486	6.143	2096.465	00:59:55.367	0.583
102228.317	1022	28.317	2.77211386	48.87039769	10	6020	4.758	2.407	6.142	2101.223	00:59:57.344	0.584
102230.300	1022	30.300	2.77208437	48.87043321	10	6020	4.503	2.271	6.139	2105.726	00:59:59.327	0.585
102232.373	1022	32.373	2.772057911	48.87047547	15	6020	5.084	2.452	6.174	2110.81	01:00:01.400	0.586
102249.260	1022	49.260	2.772108616	48.87077	15	6020	32.967	1.952	0.030	2143.777	01:00:18.287	0.592
102255.247	1022	55.247	2.772172898	48.8707701	10	6020	4.709	0.787	1.562	2148.486	01:00:24.274	0.593
102342.160	1023	42.160	2.771958778	48.87045324	25	6020	38.574	0.822	3.259	2187.06	01:01:11.187	0.596
102345.337	1023	45.337	2.772093014	48.87041449	15	6020	10.737	3.380	2.597	2197.797	01:01:14.364	0.598
102418.327	1024	18.327	2.772005749	48.87038338	10	6020	7.269	0.220	3.598	2205.066	01:01:47.354	0.595
102504.370	1025	04.370	2.771947962	48.87042519	10	6020	6.289	0.137	6.046	2211.355	01:02:33.397	0.589
102530.307	1025	30.307	2.771432663	48.87090806	5	6020	65.645	2.531	6.098	2277	01:02:59.334	0.602
102532.260	1025	32.260	2.77139626	48.87095039	5	6020	5.411	2.771	6.133	2282.411	01:03:01.287	0.604
102534.297	1025	34.297	2.771356259	48.87099478	5	6020	5.741	2.818	6.126	2288.152	01:03:03.324	0.605
102536.343	1025	36.343	2.771309109	48.87104376	5	6020	6.450	3.152	6.116	2294.602	01:03:05.370	0.606
102538.290	1025	38.290	2.771258016	48.87109118	5	6020	6.467	3.322	6.096	2301.069	01:03:07.317	0.608
102540.330	1025	40.330	2.771210771	48.87113509	5	6020	5.986	2.934	6.096	2307.055	01:03:09.357	0.609
102606.360	1026	06.360	2.77083032	48.87179644	5	6020	78.658	3.022	6.182	2385.713	01:03:35.387	0.625
102608.333	1026	08.333	2.770809577	48.87185204	10	6020	6.368	3.228	6.218	2392.081	01:03:37.360	0.627
102610.310	1026	10.310	2.770796271	48.8719081	5	6020	6.311	3.192	6.241	2398.392	01:03:39.337	0.628
102612.347	1026	12.347	2.770807157	48.87196733	5	6020	6.636	3.258	0.032	2405.028	01:03:41.374	0.629
102614.327	1026	14.327	2.770822647	48.87202971	5	6020	7.030	3.551	0.044	2412.058	01:03:43.354	0.631
102616.377	1026	16.377	2.770837591	48.87209261	5	6020	7.081	3.454	0.042	2419.139	01:03:45.404	0.632
102642.527	1026	42.527	2.77095308	48.87290977	10	6020	91.276	3.490	0.025	2510.415	01:04:11.554	0.652
102644.337	1026	44.337	2.770975776	48.8729727	10	6020	7.194	3.975	0.064	2517.609	01:04:13.364	0.653
102646.293	1026	46.293	2.771003571	48.87303489	5	6020	7.210	3.686	0.079	2524.819	01:04:15.320	0.655
102648.293	1026	48.293	2.771032715	48.87310073	5	6020	7.628	3.814	0.078	2532.447	01:04:17.320	0.657
102650.307	1026	50.307	2.771067195	48.8731676	5	6020	7.854	3.900	0.091	2540.301	01:04:19.334	0.658
102652.287	1026	52.287	2.771105101	48.87323252	5	6020	7.736	3.907	0.103	2548.037	01:04:21.314	0.660
102704.337	1027	04.337	2.771313165	48.87358415	10	6020	41.973	3.483	0.105	2590.01	01:04:33.364	0.669
102706.247	1027	06.247	2.771352321	48.8736402	10	6020	6.862	3.593	0.124	2596.872	01:04:35.274	0.670
102708.280	1027	08.280	2.771392897	48.87369279	5	6020	6.561	3.227	0.137	2603.433	01:04:37.307	0.671
102710.267	1027	10.267	2.771441104	48.87374016	5	6020	6.343	3.192	0.179	2609.776	01:04:39.294	0.673
102712.270	1027	12.270	2.771484749	48.87378937	5	6020	6.339	3.165	0.157	2616.115	01:04:41.297	0.674
102714.277	1027	14.277	2.771525332	48.87383963	5	6020	6.331	3.154	0.143	2622.446	01:04:43.304	0.675
102900.497	1029	00.497	2.774546859	48.87540764	25	6020	281.791	2.653	0.334	2904.237	01:06:29.524	0.728
102902.610	1029	02.610	2.774441513	48.87532924	25	6020	11.644	5.511	3.379	2915.881	01:06:31.637	0.730
102903.573	1029	03.573	2.77438534	48.87519084	25	6020	15.933	16.545	3.214	2931.814	01:06:32.600	0.734
102904.540	1029	04.540	2.77433459	48.87508094	15	6020	12.776	13.212	3.224	2944.59	01:06:33.567	0.737
102906.517	1029	06.517	2.774268012	48.87499236	15	6020	10.993	5.560	3.276	2955.583	01:06:35.544	0.740
102910.683	1029	10.683	2.774169911	48.87492808	15	6020	10.137	2.433	3.409	2965.72	01:06:39.710	0.741
102936.513	1029	36.513	2.773817591	48.8746214	5	6020	42.773	1.656	3.344	3008.493	01:07:05.540	0.747
102942.527	1029	42.527	2.773870046	48.87460244	5	6020	4.383	0.729	2.682	3012.876	01:07:11.554	0.747
103004.507	1030	04.507	2.774018952	48.87445972	5	6020	19.260	0.876	2.957	3032.136	01:07:33.534	0.748
103008.527	1030	08.527	2.774004991	48.87442127	5	6020	4.397	1.094	3.206	3036.533	01:07:37.554	0.748
103012.493	1030	12.493	2.773998212	48.87437954	5	6020	4.668	1.177	3.171	3041.201	01:07:41.520	0.749
103042.527	1030	42.527	2.77435004	48.874226	5	6020	30.917	1.029	2.753	3072.118	01:08:11.554	0.751
103047.503	1030	47.503	2.774406315	48.87422946	5	6020	4.140	0.832	1.239	3076.258	01:08:16.530	0.751
103052.520	1030	52.520	2.774450069	48.8742558	5	6020	4.342	0.865	0.288	3080.6	01:08:21.547	0.751
103118.510	1031	18.510	2.774568529	48.87427535	10	6020	8.946	0.344	0.825	3089.546	01:08:47.537	0.749
103154.553	1031	54.553	2.774508622	48.87431156	5	6020	5.956	0.165	5.996	3095.502	01:09:23.580	0.743
103157.550	1031	57.550	2.774510099	48.87431565	5	6020	0.468	0.156	0.064	3095.97	01:09:26.577	0.743
103338.857	1033	38.857	2.774603311	48.87449269	25	6020	20.841	0.206	0.094	3116.811	01:11:07.884	0.730
103341.797	1033	41.797	2.774417578	48.87442967	15	6020	15.305	5.206	3.627	3132.116	01:11:10.824	0.733
