Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/21/2011,10:30:00,12,,N,N,,,'2-4,,Belgium,3,Family,M,45,F,14,F,16,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Definitely,N,Y,Indiana Jones,60,30,
4/21/2011,10:25:00,12,,N,N,,N,'2-4,,Netherlands,4,Family,F,38,M,38,F,8,F,5,,,Thrill rides,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,None,N,,,,,
4/21/2011,10:45:00,13,,N,Y,Hotel New York,N,'2-4,Y,France,2,Friends,F,23,F,23,,,,,,,Thrill rides,,,,,,None,N,Y,La Manoir Hante,,20,
4/21/2011,11:15:00,14,,N,N,,N,'2-4,Y,France,4,Friends,F,16,M,18,M,18,,,,,Thrill rides,,,,,,Not really,N,,,,,
4/21/2011,10:45:00,15,,Y,N,,N,5+,Y,Belgium,4,Family,F,30,M,29,F,6,M,2,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,N,,,,,
4/21/2011,11:20:00,16,,N,N,,N,'2-4,N,France,2,Family,M,,M,,,,,,,,Thrill rides,Non-thrill rides,,,,,Somewhat,N,Y,Pirates of the Carribean,30,15,
4/21/2011,,17,,Y,N,,,5+,Y,France,2,Other (?),F,23,M,34,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,None,N,Y,Tower of Terror,30,30,
4/21/2011,10:30:00,18,,N,N,,N,5+,,,2,Friends,F,26,M,28,,,,,,,Thrill rides,,,Parades and fireworks,,,,N,Y,Toutes?,15,5,
4/21/2011,10:00:00,19,,N,Y,Santa Fe,Y,'2-4,Y,France,2,Family,M,43,F,47,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,Y,,,,,
4/21/2011,10:20:00,20,,N,Y,Newport Bay,N,1,,France,3,Family,F,37,M,35,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:30:00,21,,N,N,,N,'2-4,Y,France,3,Family,F,30,F,10,M,8,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,10:30:00,22,,N,Y,Cheyenne,N,'2-4,Y,Belgium,3,Family,F,35,M,39,F,6,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,Y,Crush,30,30,
4/21/2011,11:00:00,23,,N,N,,,1,,Belgium,5,Friends,M,51,F,45,F,11,M,3,M,4,,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,None,N,N,,30,30,
4/21/2011,,24,,Y,N,,,5+,,,5,Family,F,38,F,63,F,9,M,6,M,30,Thrill rides,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:15:00,24,,N,Y,Santa Fe,N,1,,Germany,4,Family,F,50,M,30,F,6,M,3,,,,,Indoor shows,,,Overall atmosphere,Not really,N,,,,,
4/21/2011,11:00:00,25,,N,Y,Davy Crockett Ranch,Y,'2-4,N,France,3,Family,F,35,M,33,F,6,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,,Not really,N,,,,,
4/21/2011,11:40:00,26,,N,N,,N,'2-4,Y,France,2,Family,F,27,M,20,,,,,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,None,N,,,,,
