Device,Time,Date,(1) Map,(1) Waits,(1) Shows,(1) Tips,(1) Bonus,(1) Game,(2) Not work as expected?,If yes...,(3) Influence?,If yes...,(4) Enough time?,If no...,(5) Overall Experience,(5a) Why?,(6) Merchandise Locations,(6a) What drove decision?,(7) Amount on merchandise,(8) F&B Locations,(8a) What drove decisions?,(9) Amount on F&B,(10) Meals eaten,(11) Attractions visisted,(13) Experience #1,(13) Experience #2,(13) Experience #3,(14) Age of user,(14) Gender of user,(15) Paper map?,(16) Paper schedule?,(17) Get lost?,(18) How closely did you follow plan?,(18a) What diverted original plans?,(19) Ride because of low wait times?,(19a) If yes....,(20) Get fast passes?,(20a) If yes...,(20c) Use them?,(20c) If no...,(21) Group split?,(21a) If yes...,(21b) Who kept the device?,(22) Other comments?
8,18:03:00,4/24/2011,4,6,0,3,4,4,Yes,The Charger,No,,No,Didn't understand,Good,it was quite easy to use,,Merchandise offerings and proximity,150,Agrabah cafe restaurant,food offerings,200,dinner,"La cabane des robinson,Le pays des contes de fees, its a small world, art of disney animation",small world,orbitron,autopia,"3,4",Male/female,yes,yes,a few times,Loosely,long waits and tired children,yes,le pays des contes de fees,yes,Buzz lightyear and big thunder mountain,No,not enough time to get there from what we were doing,no,,,
8,16:20:00,4/26/2011,5,5,5,5,5,5,yes,,yes,,yes,,good,when the device was working,My group has not purchased any merchandise at the Disneyland Paris Resort today,,0,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,Food offerings and proximity,75,breakfast,"la cabane des robinson, alice's curious labyrinth, captain eo, art of disney animation, rock n roller coaster, tower of terror",,,,17,Male,yes,yes,once,closely,long waits,no,,yes,,yes,,yes,some people from the group got tired,,used the device for 2 days but it only worked for one day. The park was too crowded
9,,4/29/2011,5,5,7,,1,1,No,,No,,yes,,Good,,My group has not purhased any merchandise at the dinseyland paris resort today,,,,Reservation,250,Dinner,,,,,,,,,,,,,,,,,,,,,
10,20:30:00,4/25/2011,7,6,0,5,5,6,Yes,At times it broke down/lost location,Yes,The descriptions made it sound more easy,no,We spent too long in the ques,Very Good,It helped us a lot,The Emporium  ,Proximity,30,"Agrabah cafe restaurant, buzz lightyears pizza planet, fuentes del oro restaurant",Proximity,60,Morning snack and afternoon snack,"La caban des robinson, its a small world",Space mountain,Laser,Space trip,11,Male,No,No,Once,Does not apply did not have a plan,long waits,no,,yes,,No,,No,,,Needs accuracy with maps
10,14:36:00,4/28/2011,,,,,,,y,,y,,n,,Very Good,,,Store look and feel,60,Buzz Lightyear's Pizza Planet,Food offerings,200,Breakfast,"Le Pays des Contes de Fees, Captain EO",,,,,,n,n,Never,Exactly,"Long Waits, Tired Children",y,,y,,,,n,,,
11,18:50:00,4/23/2011,7,7,7,7,7,7,N,,Y,,Y,,Excellent,Useful,,,,Hakuna Matata,Food offerings,24,Lunch,"Studio Tram Tour, Rock n Roller, Tower of Terror",Tower of Terror,Crush's Coaster,Space Mountain,12,M,Y,N,Never,Loosely,Bonus,Y,Tower of Terror,Y,Buzz Lighyear,Y,,N,,,
11,18:16:00,4/24/2011,0,6,0,3,3,7,No,,Yes,,No,,Good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,Merchandise offerings,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18:30:00,4/25/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object remis par service ticketing
11,20:00:00,4/26/2011,7,7,4,1,3,3,no,,no,,yes,,very good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,Store look and feel,,Cafe Hyperion,Proximity,60,lunch,"le pays des contes de fees, alice's curious labyrinth, its a small world, captain eo",space mountain,buzz lightyear,peter pan,9,male,yes,no,never,does not apply did not have a plan,,yes,le pays des contes de fees,yes,"space mountain, buzz lightyear and peter pan",yes,,no,,,we very much appreciate the use. Perhaps a better order of shows (order on time)
11,19:25:00,4/27/2011,6,5,4,3,7,4,n,,n,,y,,Very Good,"Bonuses, Maps, Schedules",My group has not purchased and merchandiseat the Disneyland Paris Resortthis trip-- Skip to question 8,,,"Restaurant Hakuna Matata, Colonel Hathi's Pizza Outpost","Proximity, Bonuses",50,Lunch,"La Cabane des Robinson, it's a small world, Alice's Curious Labyrinth",Buzz Lightyear,it's a small world,Autopia,4 to 7,,y,n,Never,Loosely,Long Waits,n,,y,Peter Pan,y,,n,,,The schedules don't change when a ride is closed.
11,21:10:00,4/28/2011,7,7,0,5,6,7,No, ,Yes,,No,Going to rides,Excellent,giving information,,,Merchandise offerings,90,,My group has not purchased any meals or snacks at the Disneyland Resort today. Guest also selected Cafe Hyperion,,,,,,,,,,,,,,,,,,,,,,
11,19:10:00,4/30/2011,5,6,4,4,3,2,Yes,Not visable in the sun,No,,Yes,,Good,Its helpfull,Disney Store,Store look and feel,100,,,,,,,,,,,,,,,,,,,,,,,,,
11,17:45:00,4/21/2011,4,6,0,7,7,5,yes,the map stopped,no,,no,have to leave early,good,because we want,"The emporium, tower hotel gifts, disney store","merchandise offerings, other- disney village (disney store)",1000,Restaurant en coulisse,"food offerings, price",200,lunch and afternoon snack,"la cabane des robinson, captain eo, stitch live, cinemagique, armageddon, rock n roller coaster, tower of terror, moteurs action stunt show",tower of terror,cinemagique,rock n roller coaster,"45, 16,14",Male and female,yes,yes,once,exactly,other - nothing,no,,no,,,,no,,,great! less waiting time would be good!
12,19:45:00,4/23/2011,7,7,4,3,5,2,N,,Y,,N,,Very good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,Did not purchase,,,,"Cabane de Robinson, Pays des Contes, Labyrinth",Pirates of the Caribbean,,,23,F,Y,Y,Never,No plan,Long waits,Y,,Y,Space Mountain,Y,,Y,Kids,,
12,20:25:00,4/24/2011,7,7,5,5,4,6,No,,,,No,,Very Good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,,My group has not purchased any meals or snacks at the Disneyland Paris Resort today,,,Lunch and dinner,"Alice's Curious Labyrinth, its a small world",Peter pan,Buzz Lightyear,Autopia,42,Male,Yes,Yes,Never,Closely,Tired Children,Yes,,Yes,Peter pan and Buzz Lightyear,yes,,No,,,
12,16:20:00,4/25/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16:55:00,4/26/2011,5,5,5,4,3,3,no,,yes,en function des files d'attente,yes,,good,,My group has not purchased any merchandise at the Disneyland Paris Resort today,,0,Au chalet de la marionette,proximity,60,dinner,"its a small world, captain eo",crush's coaster,its a small world,indiana jones,39,,yes,yes,never,closely,long waits,no,,no,,,,no,,,
12,18:35:00,4/27/2011,5,6,4,5,5,6,y,,y,,n,,Very Good,,,,50,Cowboy Cookout Barbeque,"Food offerings, Proximity",50,Lunch,"La Cabane des Robinson, Alice's Curious Labyrinth",Indiana Jones,Space Mountain,Peter Pan,48,,y,y,Never,Closely,Tired Children,n,,n,,,,n,,,
12,20:25:00,4/30/2011,0,0,0,0,0,2,No,,,,No,,Good,,My group has not purchased any merchandise at the Disneyland Paris Resort Today,,,My group did not purchase any meals or snacks at the Disneyland Paris Resort this trip,,,Lunch and dinner,"La Cabane des Robinson, Alice's Curious Labyrinth",sPACE mOUNTAIN,Adionos Jons,,20,F,Yes,Yes,Never,Does not apply did not have a plan,,Yes,,No,,,,No,,,
12,18:05:00,4/21/2011,5,4,0,1,0,3,yes,stopped working at 14:00,yes,waiting hours influenced,,not used,good,,the emporium  ,other- children,40,Cafe Hyperion,"Price, other-taste",40,morning snack and lunch,le pays des contes de fees,,,,5,female,yes,no,never,not at all,long waits,yes,nautilus,yes,,yes,,no,,,detail  level of map should be better and when detailed map is chosen it should be possible to go to left and right
13,15:45:00,4/25/2011,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17:00:00,4/21/2011,5,7,0,0,7,4,yes,it burned off,yes,to enjoy the fast pass,yes,,good,il y a des ameliorations a foure,plaza west shop,proximity,15,disney blockbuster cafe,"price, other- sandwich",17,dinner,rock n roller coaster tower of terror,indiana jones,haunted mansion,tower of terror,23,female,yes,yes,a few times,does not apply did not have a plan,,yes,alice's curious labyrinth,no,,,,no,,,add some games and write more details on the attractions. add on option with an itinerary between 2 locations
14,14:45:00,4/23/2011,7,5,5,1,1,4,Y,Dutch language is poor,N,,N,,Good,,,Store look and feel,130,Chalet de la Marionnette,,,,,,,,,,,,,,,,,,,,,,,,
14,22:00:00,4/24/2011,5,4,3,3,3,4,Yes,Came up with error 29,No, ,No, ,Just okay,Froze up at 15:30,Walt Disney Store,Merchandise offerings,60,Pizzeria Bella Notte,"Food offerings, price",35,Dinner,Playhouse disney,Big Thunder mountain,Peter pan,Orbitron,8,Female,Yes,No,A few times,Not at all,long waits,No,,No,,,,No,,,Was good but let down when it got error at 15:30
